config	seed	exit	sig12	scanlines
chaos_maxts-1e5	21	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	22	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	23	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	24	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	25	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	26	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	27	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	28	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	29	0	e9ed0d2ac4d9	1
chaos_maxts-1e5	30	0	e9ed0d2ac4d9	1
chaos_heur-none	1	0	beffe73fffb0	1
chaos_heur-none	2	0	beffe73fffb0	1
chaos_heur-none	3	0	beffe73fffb0	1
chaos_heur-none	4	0	beffe73fffb0	1
chaos_heur-none	5	0	e9ed0d2ac4d9	1
chaos_heur-none	6	0	beffe73fffb0	1
chaos_heur-none	7	0	e9ed0d2ac4d9	1
chaos_heur-none	8	0	beffe73fffb0	1
chaos_heur-none	9	0	e9ed0d2ac4d9	1
chaos_heur-none	10	0	beffe73fffb0	1
chaos_heur-none	11	0	e9ed0d2ac4d9	1
chaos_heur-none	12	0	beffe73fffb0	1
chaos_heur-none	13	0	beffe73fffb0	1
chaos_heur-none	14	0	beffe73fffb0	1
chaos_heur-none	15	0	beffe73fffb0	1
chaos_heur-none	16	0	e9ed0d2ac4d9	1
chaos_heur-none	17	0	beffe73fffb0	1
chaos_heur-none	18	0	beffe73fffb0	1
chaos_heur-none	19	0	beffe73fffb0	1
chaos_heur-none	20	0	beffe73fffb0	1
chaos_heur-none	21	0	e9ed0d2ac4d9	1
chaos_heur-none	22	0	e9ed0d2ac4d9	1
chaos_heur-none	23	0	e9ed0d2ac4d9	1
chaos_heur-none	24	0	e9ed0d2ac4d9	1
chaos_heur-none	25	0	e9ed0d2ac4d9	1
chaos_heur-none	26	0	beffe73fffb0	1
chaos_heur-none	27	0	e9ed0d2ac4d9	1
chaos_heur-none	28	0	beffe73fffb0	1
chaos_heur-none	29	0	e9ed0d2ac4d9	1
chaos_heur-none	30	0	e9ed0d2ac4d9	1
chaos_heur-random	1	0	e9ed0d2ac4d9	1
chaos_heur-random	2	0	beffe73fffb0	1
chaos_heur-random	3	0	e9ed0d2ac4d9	1
