cell_id,backend,verdict,tier,golden_rc,backend_rc,detail
backend-parity-c/cpuid-probe,dbi,DIVERGES,L0,1,0,exit 0 vs golden 1: reverie-dbi: tool=Detcore branches=22785 syscalls=37 rewritten=36 stdin_reads=0 memory_hash=8173631d3d2fe092
backend-parity-c/pipe2-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/poll-readiness,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/prctl-identity,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/prctl-pdeathsig,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/preadv2-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/readdir-entries,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/rename-ops,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/renameat2-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/rlimit-identity,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/robust-list,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sched-getaffinity-identity,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/seccomp-refusal,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sendfile-copy,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/set-tid-address,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/shutdown-socketpair,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/signalfd-create,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/socket-options,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/socketpair-flags,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/sockname-unnamed,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/statfs-free-determinism,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0"
backend-parity-c/statx-metadata,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
backend-parity-c/symlink-ops,sabre,L2-PASS,L2,0,0,"--verify held, stdout+exit match the ptrace golden; sabre guest_rpc_observed=true ptrace_fallback_sites=0 [manifest build.cflags incomplete: needed -D_GNU_SOURCE/-pthread]"
